,Artist,Song,Year
0,Len Spencer,Ma Tiger Lily,1900
1,Jere Mahoney,When You Were Sweet Sixteen,1900
2,George J Gaskin,When You Were Sweet Sixteen,1900
3,Jere Mahoney,A Bird in a Gilded Cage,1900
4,Arthur Collins,Mandy Lee,1900
5,Thomas Alva Edison,Mary Had a Little Lamb,1900
6,Steve Porter,A Bird in a Gilded Cage,1900
7,Albert Campbell,Ma Blushin' Rosie,1900
8,George J Gaskin,When Cloe Sings a Song,1900
9,Haydn Quartet,Because,1900
10,Arthur Collins,Ma Tiger Lily,1900
11,Louis Bradfield,I Want to Be a Military Man,1900
12,Harry MacDonough,I Can't Tell Why I Love You But I Do,1900
13,Vess Ossman,Old Folks at Home (Way Down Upon the Swanee River),1900
14,Harry MacDonough,My Sunny Southern Home,1900
15,JW Myers,"Good-Bye, Dolly Gray",1900
16,Albert Campbell,Mandy Lee,1900
17,Vess Ossman,A Coon Band Contest,1900
18,Harry MacDonough,A Bird in a Gilded Cage,1900
19,Harry MacDonough & Grace Spencer,When We are Married,1900
20,Dan Quinn,When Reuben Comes to Town,1900
21,Byron G Harlan & AD Madeira,In the Shadow of the Pines,1900
22,Harry MacDonough,The Holy City,1900
23,Gus Glen,If it Wasn't For The 'Ouses in Between,1900
24,American Quartet,A Night Trip to Buffalo,1900
25,Dan Quinn,San Francisco Sadie,1900
26,Harry MacDonough,My Wild Irish Rose,1900
27,Albert Campbell,If You Were Only Mine,1900
28,Harry MacDonough,Mandy Lee,1900
29,Steve Porter,Little Brown Jug,1900
30,Arthur Christian,Soldiers of The Queen,1900
31,Harry MacDonough,I Love You Just the Same,1900
32,Edward M Favor,I'd Leave My Happy Home for You,1900
33,Dan Quinn,Nothing's Too Good for the Irish,1900
34,Peter Dawson,The Miner's Dream of Home,1900
35,Felix Mayol,La Paimpolaise,1900
36,Polin,Le Trottoir De L'exposition,1900
37,Various Artists,Happy Birthday,1900
38,Sousa's Band,Stars & Stripes Forever,1901
39,Sousa's Band,American Patrol,1901
40,Harry MacDonough & Grace Spencer,Tell Me Pretty Maiden,1901
41,Cal Stewart,Uncle Josh's Huskin' Bee Dance,1901
42,Big Four Quartet,"Good-Bye, Dolly Gray",1901
43,JW Myers,In the Shade of the Palm,1901
44,Byron G Harlan,"Hello Central, Give Me Heaven",1901
45,Dan Quinn,"Good Evening, Carrie",1901
46,Will Denny,"Any Old Place I Hang My Hat is Home, Sweet Home To Me",1901
47,S H Dudley,When Reuben Comes to Town,1901
48,Cal Stewart,Jim Lawson's Horse Trade with Deacon Witherspoon,1901
49,Harry MacDonough,Absence Makes the Heart Grow Fonder,1901
50,Harry MacDonough,The Tale of the Bumble Bee,1901
51,Jack Morrison,Knocked 'Em in The Old Kent Road,1901
52,Bert Williams & George Walker,My Little Zulu Baby,1901
53,Len Spencer,"Reuben Haskins from Skowhegan, Maine",1901
54,Harry MacDonough,"Good-Bye, Dolly Gray",1901
55,Arthur Collins & Byron G Harlan,The Wedding of Reuben & the Maid,1901
56,Harry MacDonough,When the Harvest Days are Over,1901
57,George Washington Johnson,The Laughing Song,1901
58,Arthur Collins,"Cindy, I Dreams About You",1901
59,George J Gaskin,Absence Makes the Heart Grow Fonder,1901
60,S H Dudley,Whistling,1901
61,Joe Belmont,Whip-Poor-Will Song,1901
62,Dan Quinn,You Can't Keep A Good Man Down,1901
63,The Variety Singers,"Beer, Beer, Glorious Beer",1901
64,The Variety Singers,Ask a Policeman,1901
65,Harry MacDonough,When You Were Sweet Sixteen,1901
66,Georgia Minstrel Co,Minstrel Record No 3,1901
67,Dan Quinn,Ain't Dat a Shame?,1901
68,Harry MacDonough & S H Dudley,Sweet Annie Moore,1901
69,S H Dudley,Ma Blushin' Rosie,1901
70,Sousa's Band,William Tell Overture,1901
71,Mina Hickman,When I Think of You,1901
72,Len Spencer,Scene at a Dog Fight,1901
73,Arthur Collins,I Never Trouble Trouble Until Trouble Troubles Me,1901
74,Harry MacDonough,"I've a Longing in My Heart for You, Louise",1901
