,Author,Title,Lyrics,Sentiment score,Sentiment magnitude
0,Author,Title,Lyrics,0.0,0.0
1,Alan Walker,All falls down,"What's the trick? I wish I knew
I'm so done with thinking through
All the things I could've been
And I know you wonder too

All it takes is that one look you do
And I run right back to you
You cross the line
And it's time to say ""F... you""

What's the point in saying that
When you know how I'll react?
You think you can just take it back
But shit just don't work like that

You're the drug that I'm addicted to
And I want you so bad
Guess I'm stuck with you
And that's that

'Cause when it all falls down
Then whatever
When it don't work out
For the better
If it just ain't right
And it's time to say goodbye
When it all falls down
When it all falls down

I'll be fine, I'll be fine
You're the drug that I'm addicted to
And I want you so bad, but I'll be fine

Why we fight? I don't know
We say what hurts the most
Oh, I try staying cold
But you take it personal

All these firing shots
And making ground
It's way too hard to cope
But I still can't let you go

'Cause when it all falls down
Then whatever
When it don't work out
For the better
If it just ain't right
And it's time to say goodbye
When it all falls down
When it all falls down

I'll be fine, I'll be fine
You're the drug that I'm addicted to
And I want you so bad, but I'll be fine

I'll be fine, fine
(All falls down)
I'll be fine, fine, fine
I fine, fine, fine, fine
(Falling down)
(All falls down)
I'll be fine, fine, fine

I fine, fine, fine, fine
(All falls down)
I'll be fine, fine, fine
I fine, fine, fine, fine
(Falling down)
(All falls down)
I'll be fine, fine, fine
I fine, fine

'Cause when it all falls down
Then whatever
(Then whatever, babe)
When it don't work out
For the better
(For the better)
If it just ain't right
(If it just ain't right,)
And it's time to say goodbye
When it all falls down
(When it all, when it all)
When it all falls down
(When it all falls down)

I'll be fine (Fine, fine, fine)
I'll be fine (I'll be fine)
You're the drug that I'm addicted to and I want you so bad
But I'll be fine (I'll be fine), and that's that
",0.0,10.100000381469727
2,Alle Farben & Ilira,Fading,"All I ever wanted was to find you
Find a love I never knew
I can feel the pain inside me fading
While I'm fading into you

Been to Paris, been to Rome
But I never found my home
Till you came and took my hand
Been to deserts and the coast
Couple turns along the road
Then I found you in the end

You lead the way out of the dark
Laying out my cards
In your hands, all of them showing hearts
Seasons changing all the time
But our love's one of a kind
Write our names into the sky

Come on, keep it going
There's so much for us to see
(Whoo hoo, whoo hoo, whoo hoo hoo)
It don't matter where we are
As long as you're with me
(Whoo hoo, whoo hoo)
As long as you're with me

All I ever wanted was to find you
Find a love I never knew
I can feel the pain inside me fading
While I'm fading into you

All I ever wanted was to find you
Find a love I never knew
I can feel the pain inside me fading
While I'm fading into you

City lights passing by
Without you I'm colorblind
Ain't no reason left to hide
Chasing highs day and night
Praying you stay by my side
When you're with me, I'm alright

You lead the way out of the dark
Laying out my cards
In your hands, all of them showing hearts
Never leave, standing still
Put you on a pedestal
Keep you safe and always will

Come on, keep it going
There's so much for us to see
(Whoo hoo, whoo hoo, whoo hoo hoo)
It don't matter where we are
As long as you're with me
(Whoo hoo, whoo hoo)
As long as you're with me

All I ever wanted was to find you
Find a love I never knew
I can feel the pain inside me fading
While I'm fading into you

All I ever wanted was to find you (find you)
Find a love I never knew
I can feel the pain inside me fading
While I'm fading into you (find a love I never knew, yeah)

(Whoo hoo, whoo hoo, whoo hoo hoo)
Into you, yeah, into you, yeah
(Whoo hoo, whoo hoo, whoo hoo hoo)

Fading, oh I'm fading
Into you ooh, into you ooh",0.699999988079071,9.699999809265137
3,Anne-Marie,2002,"I will always remember
The day you kissed my lips
Light as a feather
And it went just like this
No, it's never been better
Than the summer of two thousand and two

We were only eleven
But acting like grown-ups
Like we are in the present
Drinking from plastic cups
Singing ""love is forever and ever""
Well, I guess that was true

Dancing on the hood
In the middle of the woods
Of an old Mustang
Where we sang
Songs with all our childhood friends
And it went like this, say

Oops, I got 99 problems singing bye, bye, bye
Hold up, if you wanna go and take a ride with me
Better hit me, baby, one more time
Paint a picture for you and me
Of the days when we were young, uh
Singing at the top of both our lungs

Now we're under the covers
Fast forward to eighteen
We are more than lovers
Yeah, we are all we need
When we're holding each other
I'm taken back to two thousand and two

Dancing on the hood
In the middle of the woods
Of an old Mustang
Where we sang
Songs with all our childhood friends
And it went like this, say

Oops, I got 99 problems singing bye, bye, bye
Hold up, if you wanna go and take a ride with me
Better hit me, baby, one more time
Paint a picture for you and me
Of the days when we were young
Singing at the top of both our lungs
On the day we fell in love
On the day we fell in love

Dancing on the hood
In the middle of the woods
Of an old Mustang
Where we sang
Songs with all our childhood friends
Oh, now

Oops, I got 99 problems singing bye, bye, bye
Hold up, if you wanna go and take a ride with me
Better hit me, baby, one more time
Paint a picture for you and me
Of the days when we were young, uh
Singing at the top of both our lungs
On the day we fell in love
On the day we fell in love
On the day we fell in love
On the day we fell in love
On the day we fell in love, love, love",0.4000000059604645,5.0
4,Anne-Marie,Ciao Adios,"Yeah, yeah, yeah, yeah, yeah
Uh

Ask you once, ask you twice now
There's lipstick on your collar
You say she's just a friend now
Then why don't we call her?
So you wanna go home with someone
To do all the things you used to do to me
I swear, I know you do

Used to take me out in your fancy car
And make out in the rain
And when I ring you up
Don't know where you are
'Til I hear her say your name
Used to sing along when you played guitar
That's a distant memory
Hope she treats you better than you treated me, ha

I'm onto you, yeah you
I'm not your number one
I saw you with her
Kissing and having fun
If you're giving her all of your money and time
I'm not gonna sit here wasting mine on you, yeah, you
Ciao adios, I'm done
Ciao adios, I'm done
Ciao adios, I'm done

After three, after four times
Why did I bother?
Tell me how many more times
Does it take to get smarter?
Don't need to deny the hurt and the lies
And all of the things you did to me
I swear, I know you did

And now you take her out in your fancy car
And make out in the rain
And when she rings you up
She know where you are
But I know differently
Now she sings along when you play guitar
Making brand new memories
Hope you treat her better than you treated me

I'm onto you, yeah you
I'm not your number one
I saw you with her
Kissing and having fun
If you're giving her all of your money and time
I'm not gonna sit here wasting mine on you, yeah, you
Ciao adios, I'm done (I'm done)
Ciao adios, I'm done (no, no, no, no)
Ciao adios, I'm done
If you're giving her all of your money and time
I'm not gonna sit here wasting mine on you, yeah, you
Ciao adios, I'm done

And now you take her out in your fancy car
And make out in the rain
And when she rings you up
She know where you are
But I know differently
Now she sings along when you play guitar
Making brand new memories
Hope you treat her better than you treated me

I'm onto you, yeah you
I'm not your number one
I saw you with her (with her)
Kissing and having fun (and fun)
If you're giving her all of your money and time
I'm not gonna sit here wasting mine on you, yeah, you
Ciao adios, I'm done (I'm done)
Ciao adios, I'm done (you get on with your life, I'll get on with my life)
Ciao adios, I'm done
If you're giving her all of your money and time
I'm not gonna sit here wasting mine on you, yeah, you
Ciao adios, I'm done",0.0,4.5
5,Ariana grande,Everyday,"[Ariana Grande:]
Anytime I'm alone, I can't help thinking about you
All I want, all I need, all I see, is just me and you

He giving me that good shit
That make me not quit, that good shit
He giving me that good shit
That make me not quit, that good shit

[Ariana Grande (Future):]
Oh, he give it to me
(Everyday, everyday, everyday, eve-ry)
He give it to me
(Everyday, everyday, everyday, eve-ry)
Oh, he give it to me
(Everyday, everyday, everyday, eve-ry
He give it to me
(Everyday, everyday, everyday, eve-ry)

[Ariana Grande:]
Anytime, anywhere, baby boy, I can misbehave
Breathe me in, breathe me out, feel me I'm running through your veins

He giving me that good shit
That make me not quit, that good shit
He giving me that good shit
That make me not quit, that good shit

[Ariana Grande (Future):]
Oh, he give it to me
(Everyday, everyday, everyday, eve-ry)
He give it to me
(Everyday, everyday, everyday, eve-ry)
Oh, he give it to me
(Everyday, everyday, everyday, eve-ry)
He give it to me
(Everyday, everyday, everyday, eve-ry)

[Ariana Grande (Future):]
You make me go
La, la, la, la, la, la, la, la
La, la, la, la, la, la
(Everyday, eve-ry)
La, la, la, la, la, la, la, la
La, la, la, la, la, la
(Everyday, eve-ry)

[Future:]
I put that work on you everyday
When the night fall 'til the sun come
You done fell in love with a bad guy
I don't compromise my passion
You know what you do for me, I'm doing the same for you
I don't be tripping or making mistakes
I made too many in my past (that's right)
I fight for the things you believe in
I got your body and put it in drive, baby
Like I got keys in
We 'bout to take us a vacation
I'm 'bout to put all this vintage loving on you, baby
Like it was the late 80s
When you ride on me, baby rotate it

[Ariana Grande:]
He giving me that good shit
That make me not quit, that good shit

[Ariana Grande (Future):]
Oh, he give it to me
(Everyday, everyday, everyday, eve-ry)
He give it to me
(Everyday, everyday, everyday, eve-ry)
Oh, he give it to me
(Everyday, everyday, everyday, eve-ry)
He give it to me
(Everyday, everyday, everyday, eve-ry)

[Ariana Grande (Future):]
You make me go
La, la, la, la, la, la, la, la
La, la, la, la, la, la
(Everyday, eve-ry)
La, la, la, la, la, la, la, la
La, la, la, la, la, la
(Everyday, eve-ry)

[Ariana Grande (Future):]
Give it to me, to me
(She got me on it...)
Oh, he give it to me everyday
(She got me on it...)",0.5,8.300000190734863
6,Ariana grande,"thank u, next","""thank u, next""

Thought I'd end up with Sean
But he wasn't a match
Wrote some songs about Ricky
Now I listen and laugh
Even almost got married
And for Pete, I'm so thankful
Wish I could say, ""Thank you"" to Malcolm
'Cause he was an angel

One taught me love
One taught me patience
And one taught me pain
Now, I'm so amazing
Say I've loved and I've lost
But that's not what I see
So, look what I got
Look what you taught me
And for that, I say

Thank you, next (Next)
Thank you, next (Next)
Thank you, next
I'm so fuckin' grateful for my ex
Thank you, next (Next)
Thank you, next (Next)
Thank you, next (Next)
I'm so fuckin'...

Spend more time with my friends
I ain't worried 'bout nothin'
Plus, I met someone else
We havin' better discussions
I know they say I move on too fast
But this one gon' last
'Cause her name is Ari
And I'm so good with that (So good with that)

She taught me love (Love)
She taught me patience (Patience)
How she handles pain (Pain)
That shit's amazing (Yeah, she's amazing)
I've loved and I've lost (Yeah, yeah)
But that's not what I see (Yeah, yeah)
'Cause look what I've found (Yeah, yeah)
Ain't no need for searching, and for that, I say

Thank you, next (Thank you, next)
Thank you, next (Thank you, next)
Thank you, next (Thank you)
I'm so fuckin' grateful for my ex
Thank you, next (Thank you, next)
Thank you, next (Said thank you, next)
Thank you, next (Next)
I'm so fuckin' grateful for my ex

Thank you, next
Thank you, next
Thank you, next
I'm so fucking...

One day I'll walk down the aisle
Holding hands with my mama
I'll be thanking my dad
'Cause she grew from the drama
Only wanna do it once, real bad
Gon' make that shit last
God forbid something happens
Least this song is a smash (Song is a smash)

I've got so much love (Love)
Got so much patience (Patience)
I've learned from the pain (Pain)
I turned out amazing (Turned out amazing)
Say I've loved and I've lost (Yeah, yeah)
But that's not what I see (Yeah, yeah)
'Cause look what I've found (Yeah, yeah)
Ain't no need for searching
And for that, I say

Thank you, next (Thank you, next)
Thank you, next (Thank you, next)
Thank you, next
I'm so fuckin' grateful for my ex
Thank you, next (Thank you, next)
Thank you, next (Said thank you, next)
Thank you, next (Next)
I'm so fuckin' grateful for my ex

Thank you, next
Thank you, next
Thank you, next
Yeah, yee
Thank you, next
Thank you, next
Thank you, next
Yeah, yee
",0.6000000238418579,8.800000190734863
7,Armin Van buuren,blah blah blah,"All we ever hear from you is blah blah blah
So, all we ever do is go ja ja ja
And we don't even care about what they say cause it's
Ja ja ja ja
Blah blah blah blah
All we ever hear from you is blah blah blah
So, all we ever do is go ja ja ja
And we don't even care about what they say cause it's
Ja ja ja ja
Blah blah blah blah

All we ever hear from you is blah blah blah...

All we ever hear from you is blah blah blah
So, all we ever do is go ja ja ja
And we don't even care about what they say cause it's
Ja ja ja ja
Blah blah blah blah
All we ever hear from you is blah blah blah
So, all we ever do is go ja ja ja
And we don't even care about what they say cause it's
Ja ja ja ja
Blah blah blah blah

All we ever hear from you is blah blah blah
So, all we ever do is go ja ja ja
And we don't even care about what they say cause it's
Ja ja ja ja
Blah blah blah blah
All we ever hear from you is blah blah blah
So, all we ever do is go ja ja ja
And we don't even care about what they say cause it's
Ja ja ja ja
Blah blah blah blah

All we ever hear from you is blah blah blah
So, all we ever do is go ja ja ja
And we don't even care about what they say cause it's
Ja ja ja ja
Blah blah blah blah
",-0.5,2.799999952316284
8,Axwell and Ingrosso,more than you know,"I just need to get it off my chest
Yeah, more than you know
Yeah, more than you know
You should know that baby you're the best
Yeah, more than you know
Yeah, more than you know

I saw it coming, from miles away
I better speak up if I got something to say
'Cause it ain't over, until she sings
You had your reasons, you had a few
But you knew that I would go anywhere for you
'Cause it ain't over, until she sings

I just need to get it off my chest
Yeah, more than you know
Yeah, more than you know
You should know that baby you're the best
Yeah, more than you know
Yeah, more than you know

I just...
I just...

Your good intentions are sweet and pure
But they can never tame a fire like yours
No it ain't over, until she sings
Right where you wanted, down on my knees
You got me begging, pretty baby set me free
'Cause it ain't over, until she sings

Come a little closer, let me taste your smile
Until the morning lights
Ain't no going back the way you look tonight
I see it in your eyes

I just need to get it off my chest
Yeah, more than you know
Yeah, more than you know
You should know that baby you're the best
Yeah, more than you know
Yeah, more than you know

Yeah, more than you know
Yeah, more than you know
Yeah, more than you know
Yeah, more than you know
Yeah, more than you know
Yeah, more than you know
Yeah, more than you know
Yeah, more than you know

I just...

I just need to get it off my chest
Yeah, more than you know
Yeah, more than you know
You should know that baby you're the best
Yeah, more than you know
Yeah, more than you know

",0.20000000298023224,6.099999904632568
9,backstreet boys,no place,"I've been to Paris, made my way down to Rome
Seen the sun setting on the beach in Mexico
But I could care less, 'cause I was all alone
And there ain't no way to touch your body over the phone

I've been all around the world, done all there is to do
But you'll always be the home I wanna come home to
You're a wild night with a hell of a view
There ain't no place, ain't no place like you
There ain't no place, ain't no place like you

You're my daybreak, you're my California sun
You're my Memphis, New York, New Orleans all rolled into one
In the city, the country, the mountains or sea
Wherever you are, baby, that's where I wanna be

I've been all around the world, done all there is to do
But you'll always be the home I wanna come home to
You're a wild night with a hell of a view
There ain't no place, ain't no place like you
There ain't no place, ain't no place like you, no

There ain't no place (No place, no place)
Ooh, yeah, ain't no place
Wherever you are, baby, that's where I wanna be

I've been all around the world, done all there is to do
But you'll always be the home I wanna come home to
You're a wild night with a hell of a view
There ain't no place, ain't no place like you
There ain't no place, ain't no place like you
Said there ain't no place, ain't no place like you, yeah

There ain't no place (No place, no place)
No place
There ain't no place like
No place like you
No place, no place, no place, no place
There ain't no place, no place like you

",-0.4000000059604645,4.0
