,Numbers,Author,Title,Lyrics,Sentiment score,Sentiment magnitude
0,0,3 Doors Down,Here Without You,"A hundred days to make me older
Since the last time that I saw your pretty face
A thousand lies have made me colder
And I don't think I can look at this the same

And all the miles that separate
You disappeared and I'm dreaming of your face

I'm here without you, baby
But you're still on my lonely mind
I think about you, baby
And I dream about you all the time

I'm here without you, baby
But you're still with me in my dreams
And tonight it's only you and me

The miles just keep rolling
As the people leave and wave to say hello
I've heard this life is overrated
But I hope that it gets better as we go

Oho, yeah, yeah

I'm here without you, baby
But you're still on my lonely mind
I think about you, baby
And I dream about you all the time

I'm here without you, baby
But you're still with me in my dreams
And tonight, girl, it's only you and me

Everything I know
And anywhere I go
It gets hard, but it won't take away my love

And when the last one falls
When it's all said and done
It gets hard, but it won't take away my love

I'm here without you, baby
But you're still on my lonely mind
I think about you, baby
And I dream about you all the time

I'm here without you, baby
But you're still with me in my dreams
And tonight, girl, it's only you and me, yeah

Oh yeah",0.20000000298023224,6.300000190734863
1,1,5 Seconds of Summer,Lie To Me,"I saw you looking brand new overnight
And I caught you looking too, but you didn't look twice
You look happy, oh
You look happy, oh

Flashing back to New York City
Changing flights so you stay with me
Remember thinking that I got this right

Now I wish we never met
'Cause you're too hard to forget
While I'm cleaning up your mess
I know he's taking off your dress
And I know that you don't, but if I ask you if you love me
I hope you lie, lie, lie, lie to me

It's 3 AM and the moonlight's testing me (ah)
If I can make it till dawn, then it won't be hard to see (ah)
I ain't happy, oh
I ain't too happy, oh

Flashing back to New York City
Change your flight so you stay with me
Problem was, I thought I had this right

Now I wish we never met
'Cause you're too hard to forget
While I'm cleaning up your mess
I know he's taking off your dress
I know that you don't, but if I ask you if you love me
I hope you lie, lie, lie, lie, lie to me
Singing, lie, lie, lie, lie, lie
Li-li-lie, lie, lie, lie, lie
Lie, lie, lie, lie, lie
Li-li-lie, lie, lie, lie, lie
And I know that you don't, but if I ask you if you love me
I hope you lie, lie, lie, lie, lie to me",-0.20000000298023224,2.799999952316284
2,2,8 Letters,Why Don't We,"You know me the best
You know my worst, see me hurt, but you don't judge
That, right there, is the scariest feeling
Opening and closing up again
I've been hurt so I don't trust
Now here we are, staring at the ceiling
I've said those words before but it was a lie
And you deserve to hear them a thousand times
If all it is is eight letters
Why is it so hard to say?
If all it is is eight letters
Why am I in my own way?
Why do I pull you close
And then ask you for space
If all it is is eight letters
Why is it so hard to say?
Isn't it amazing how almost every line on our hands align
When your hand's in mine
It's like I'm whole again, isn't that a sign
I should speak my mind
I've said those words before but it was a lie
And you deserve to hear them a thousand times
If all it is is eight letters
Why is it so hard to say?
If all it is is eight letters
Why am I in my own way?
Why do I pull you close
And then ask you for space?
If all it is is eight letters
Why is it so hard to say? (whoa oh, yeah)
Uh uh 
When I close my eyes
It's you there in my mind
When I close my eyes
If all it is is eight letters
Why is it so hard to say?
If all it is is eight letters
Why am I in my own way?
Why do I pull you close
And then ask you for space
If all it is is eight letters
Why is it so hard to say?
If all it is is eight letters
When I close my eyes
It's you there in my mind (It's only you)
When I close my eyes
If all it is is eight letters
When I close my eyes
It's you there in my mind (you)
When I close my eyes
If all it is is eight letters",-0.6000000238418579,6.699999809265137
3,3,A Great Big World,Say Something,"Say something, I'm giving up on you
I'll be the one, if you want me to
Anywhere, I would've followed you
Say something, I'm giving up on you

And I am feeling so small
It was over my head
I know nothing at all

And I will stumble and fall
I'm still learning to love
Just starting to crawl

Say something, I'm giving up on you
I'm sorry that I couldn't get to you
Anywhere, I would've followed you
Say something, I'm giving up on you

And I will swallow my pride
You're the one that I love
And I'm saying goodbye

Say something, I'm giving up on you
And I'm sorry that I couldn't get to you
And anywhere, I would have followed you, oh
Say something, I'm giving up on you

Say something, I'm giving up on you
Say something",0.0,3.9000000953674316
4,4,Adele,Hello,"Hello, it's me
I was wondering if after all these years
You'd like to meet
To go over everything
They say that time's supposed to heal ya
But I ain't done much healing

Hello, can you hear me?
I'm in California dreaming about who
We used to be
When we were younger and free
I've forgotten how it felt
Before the world fell at our feet

There's such a difference between us
And a million miles

Hello from the other side
I must have called a thousand times
To tell you I'm sorry
For everything that I've done
But when I call
You never seem to be home

Hello from the outside
At least I can say that I've tried
To tell you I'm sorry
For breaking your heart
But it don't matter
It clearly doesn't tear you apart
Anymore

Hello, how are you?
It's so typical of me to talk
About myself, I'm sorry
I hope that you're well
Did you ever make it out of that town
Where nothing ever happened?

It's no secret that the both of us
Are running out of time

So hello from the other side
(Other side)
I must have called a thousand times
(Thousand times)
To tell you I'm sorry
For everything that I've done
But when I call
You never seem to be home

Hello from the outside
(Outside)
At least I can say that I've tried
(I've tried)
To tell you I'm sorry
For breaking your heart
But it don't matter
It clearly doesn't tear you apart
Anymore

Ooh, anymore
Ooh, anymore
Ooh, anymore
Anymore

Hello from the other side
(Other side)
I must have called a thousand times
(Thousand times)
To tell you I'm sorry
For everything that I've done
But when I call
You never seem to be home

Hello from the outside
(Outside)
At least I can say that I've tried
(I've tried)
To tell you I'm sorry
For breaking your heart
But it don't matter
It clearly doesn't tear you apart
Anymore",-0.20000000298023224,5.699999809265137
5,5,Adele,Set Fire To The Rain,"I let it fall, my heart
And as it fell, you rose to claim it
It was dark, and I was over
Until you kissed my lips and you saved me

My hands, they were strong
But my knees were far too weak
To stand in your arms
Without falling to your feet

But there's a side to you that I never knew, never knew
All the things you'd say, they were never true, never true
And the games you'd play, you would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Let it burn while I cried
'Cause I heard it screaming out your name, your name

When I lay with you
I could stay there, close my eyes
Feel you here, forever
You and me together, nothing is better

'Cause there's a side to you that I never knew, never knew
All the things you'd say, they were never true, never true
And the games you'd play, you would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Let it burn while I cried
'Cause I heard it screaming out your name, your name

I set fire to the rain
And I threw us into the flames
When we fell, something died
'Cause I knew that that was the last time, the last time

Sometimes I wake up by the door
That heart you caught must be waiting for you
Even now when we're already over
I can't help myself from looking for you

I set fire to the rain
Watched it pour as I touched your face
Let it burn while I cried
'Cause I heard it screaming out your name, your name

I set fire to the rain
And I threw us into the flames
When we fell, something died
'Cause I knew that that was the last time, the last time

Burn, oh
Oh, no
Let it burn, oh
Let it burn
Let it burn",0.10000000149011612,5.400000095367432
6,6,Adele,Skyfall,"This is the end
Hold your breath and count to ten
Feel the earth move and then
Hear my heart burst again

For this is the end
I've drowned and dreamt this moment
So overdue, I owe them
Swept away, I'm stolen

Let the sky fall
When it crumbles
We will stand tall
And face it all together

Let the sky fall
When it crumbles
We will stand tall
And face it all together
At Skyfall

At Skyfall

Skyfall is where we start
A thousand miles and poles apart
Where worlds collide and days are dark
You may have my number
You can take my name
But you'll never have my heart

Let the sky fall
When it crumbles
We will stand tall
And face it all together

Let the sky fall
When it crumbles
We will stand tall
And face it all together
At Skyfall

(Let the sky fall)
(When it crumbles)
(We will stand tall)

(Let the sky fall)
(When it crumbles)
(We will stand tall)

Where you go, I go
What you see, I see
I know I'd never be me
Without the security

Of your loving arms
Keeping me from harm
Put your hand in my hand
And we'll stand

Let the sky fall
When it crumbles
We will stand tall
And face it all together

Let the sky fall
When it crumbles
We will stand tall
And face it all together
At Skyfall

Let the sky fall
We will stand tall
At Skyfall",-0.30000001192092896,8.5
7,7,Adele,Someone Like You,"I heard that you're settled down
That you found a girl and you're married now
I heard that your dreams came true
Guess she gave you things I didn't give to you
Old friend, why are you so shy?
Ain't like you to hold back or hide from the light

I hate to turn up out of the blue uninvited  
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that for me, it isn't over

Never mind, I'll find someone like you
I wish nothing but the best for you, too
Don't forget me, I beg
I remember you said
Sometimes it lasts in love, but sometimes it hurts instead 
Sometimes it lasts in love, but sometimes it hurts instead, yeah

You know how the time flies
Only yesterday was the time of our lives
We were born and raised in a summer haze
Bound by the surprise of our glory days

I hate to turn up out of the blue uninvited  
But I couldn't stay away, I couldn't fight it
I had hoped you'd see my face
And that you'd be reminded that for me, it isn't over

Never mind, I'll find someone like you
I wish nothing but the best for you, too
Don't forget me, I beg
I remember you said
Sometimes it lasts in love, but sometimes it hurts instead, yeah

Nothing compares, no worries or cares
Regrets and mistakes, they're memories made
Who would have known how bittersweet this would taste?

Never mind, I'll find someone like you
I wish nothing but the best for you 
Don't forget me, I beg
I remember you said
Sometimes it lasts in love, but sometimes it hurts instead 

Never mind, I'll find someone like you
I wish nothing but the best for you, too
Don't forget me, I beg
I remember you said
Sometimes it lasts in love, but sometimes it hurts instead 
Sometimes it lasts in love, but sometimes it hurts instead, yeah...",0.0,4.900000095367432
8,8,Adele,When We Were Young,"Everybody loves the things you do
From the way you talk
To the way you move

Everybody here is watching you
'Cause you feel like home
You're like a dream come true

But if by chance you're here alone
Can I have a moment
Before I go?

'Cause I've been by myself all night long
Hoping you're someone I used to know

You look like a movie
You sound like a song
My God, this reminds me
Of when we were young

Let me photograph you in this light
In case it is the last time
That we might be exactly like we were
Before we realized

We were sad of getting old
It made us restless
It was just like a movie
It was just like a song

I was so scared to face my fears
'Cause nobody told me
That you'd be here

And I swear you moved overseas
That's what you said, when you left me

You still look like a movie
You still sound like a song
My God, this reminds me
Of when we were young

Let me photograph you in this light
In case it is the last time
That we might be exactly like we were
Before we realized

We were sad of getting old
It made us restless
It was just like a movie
It was just like a song

(When we were young)
(When we were young)
(When we were young)
(When we were young)

It's hard to win me back
Everything just takes me back
To when you were there
To when you were there

And a part of me keeps holding on
Just in case it hasn't gone
I guess I still care
Do you still care?

It was just like a movie
It was just like a song
My God, this reminds me
Of when we were young

(When we were young)
(When we were young)
(When we were young)
(When we were young)

Let me photograph you in this light
In case it is the last time
That we might be exactly like we were
Before we realized
We were sad of getting old

It made us restless
Oh, I'm so mad I'm getting old

It makes me reckless
It was just like a movie
It was just like a song
When we were young",0.0,9.100000381469727
9,9,Air Supply,All Out of Love,"I'm lying alone with my head on the phone
Thinking of you till it hurts
I know you're hurt too but what else can we do?
Tormented and torn apart

I wish I could carry your smile in my heart
For times when my life feels so low
It would make me believe what tomorrow could bring
When today doesn't really know, doesn't really know

I'm all out of love, I'm so lost without you
I know you were right believing for so long
I'm all out of love, what am I without you?
I can't be too late to say that I was so wrong

I want you to come back and carry me home
Away from this long lonely nights
I'm reaching for you, are you feeling it too?
Does the feeling seem oh, so right?

And what would you say if I called on you now
And said that I can't hold on?
There's no easy way, it gets harder each day
Please, love me or I'll be gone, I'll be gone

I'm all out of love, I'm so lost without you
I know you were right believing for so long
I'm all out of love, what am I without you?
I can't be too late to say that I was so wrong

Oh, what are you thinking of?
What are you thinking of?
What are you thinking of?
What are you thinking of?

I'm all out of love, I'm so lost without you
I know you were right believing for so long
I'm all out of love, what am I without you?
I can't be too late, I know I was so wrong

I'm all out of love, I'm so lost without you
I know you were right believing for so long
I'm all out of love, what am I without you?
I can't be too late, I know I was so wrong

I'm all out of love, I'm so lost without you
I know you were right believing for so long
I'm all out of love, what am I without you?
I can't be too late to say that I was so wrong

(I'm all out of love, I'm so lost without you)
(I know you were right)",0.0,9.0
